ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_C_Social","-1.21(-3.12,0.70)","-1.16(-3.69,1.44)","10.69(8.24,13.14)***","-0.45(-1.09,0.20)","0.2172","0.3697","1.0018","1.0000",4610,4598,3839,3678,1.0036,1380
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_EQI","-0.11(-1.95,1.82)","1.08(-0.83,3.07)","7.90(5.51,10.32)***","-0.49(-1.27,0.29)","0.9109","0.2764","1.0013","1.0015",4423,3938,3835,3658,1.002,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_Air","1.77(0.02,3.51)*","0.86(-1.23,2.96)","7.50(5.10,9.74)***","-0.33(-1.10,0.42)","0.0473","0.4164","1.0001","0.9998",4514,3944,3965,3561,1.0017,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_Water","-1.34(-4.08,1.39)","-2.03(-4.47,0.48)","8.52(6.27,10.72)***","-0.44(-1.25,0.32)","0.3468","0.1048","1.0003","1.0019",5196,5579,4032,4060,1.0029,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_Land","-2.01(-3.95,-0.04)*","1.06(-1.34,3.34)","9.00(6.51,11.44)***","-0.51(-1.31,0.24)","0.0460","0.3780","1.0006","1.0000",3905,4514,3473,3499,1.0029,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_Built","1.28(-1.29,3.68)","1.58(-1.00,3.98)","7.05(4.18,9.91)***","-0.40(-1.15,0.33)","0.3139","0.2135","1.0010","1.0022",2543,2293,2830,3131,1.0022,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_A_Social","0.43(-1.79,2.68)","1.06(-1.29,3.46)","7.51(4.72,10.20)***","-0.52(-1.33,0.27)","0.7071","0.3905","1.0002","1.0013",5069,4128,3821,3973,1.0013,1593
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_EQI","-0.95(-3.44,1.53)","1.24(-1.57,4.10)","10.63(7.74,13.41)***","0.07(-0.80,0.95)","0.4701","0.3843","0.9997","1.0013",4587,4336,3738,3789,1.0013,374
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_Air","-0.47(-2.86,1.90)","-2.47(-5.62,0.77)","11.14(8.08,14.18)***","0.10(-0.75,0.98)","0.7113","0.1314","1.0004","1.0011",4076,5095,3837,4083,1.0011,374
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_B_Water","1.35(-2.40,5.15)","1.20(-2.62,5.18)","10.27(7.51,13.04)***","0.07(-0.80,0.94)","0.4943","0.5622","1.0001","1.0008",4320,4827,3607,3942,1.0008,374
