ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"N00_N29_C64_C65",5,"Cluster_NLCD_A_EQI","-0.30(-1.10,0.50)","0.84(-0.04,1.69)","-1.85(-2.78,-0.95)***","0.10(-0.22,0.42)","0.4330","0.0619","1.0005","1.0003",4302,4414,3591,3952,1.0009,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Air","-0.84(-1.66,-0.05)*","0.16(-0.79,1.15)","-1.57(-2.44,-0.69)***","0.03(-0.30,0.34)","0.0373","0.7584","1.0003","1.0003",3704,4161,3688,3766,1.0021,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Water","-0.65(-2.06,0.77)","0.95(-0.18,2.05)","-1.90(-2.72,-1.07)***","0.08(-0.24,0.40)","0.3730","0.0948","1.0035","1.0014",4617,4522,3891,3254,1.0045,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Land","0.19(-0.71,1.08)","-0.10(-1.32,1.11)","-1.97(-3.05,-0.88)***","0.08(-0.24,0.39)","0.6726","0.8629","1.0000","1.0003",5280,6183,3751,4006,1.001,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Built","-0.42(-1.40,0.56)","0.23(-0.80,1.21)","-1.71(-2.80,-0.61)**","0.09(-0.23,0.42)","0.4097","0.6526","1.0001","1.0000",5370,5459,4072,3707,1.0013,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Social","-0.62(-1.66,0.43)","0.05(-1.03,1.14)","-1.63(-2.79,-0.47)**","0.02(-0.32,0.36)","0.2497","0.9371","1.0015","1.0018",5275,4752,3953,3955,1.0018,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_B_EQI","0.10(-1.13,1.37)","-1.03(-2.46,0.44)","-3.20(-4.50,-1.94)***","-0.39(-0.75,-0.04)*","0.8725","0.1739","0.9996","1.0006",3788,3188,2885,2817,1.0009,374
"N00_N29_C64_C65",5,"Cluster_NLCD_B_Air","-0.17(-1.34,1.01)","-1.79(-3.33,-0.26)*","-3.08(-4.41,-1.72)***","-0.38(-0.75,-0.02)*","0.7800","0.0235","1.0000","0.9999",5396,6290,3588,3834,1.0014,374
"N00_N29_C64_C65",5,"Cluster_NLCD_B_Water","0.41(-1.48,2.40)","-0.07(-1.99,1.85)","-3.52(-4.57,-2.39)***","-0.43(-0.77,-0.07)*","0.6996","0.9346","1.0005","1.0012",5360,5228,3736,3746,1.0022,374
"N00_N29_C64_C65",5,"Cluster_NLCD_B_Land","-1.30(-2.74,0.15)","-0.38(-1.77,0.99)","-2.93(-4.28,-1.60)***","-0.46(-0.83,-0.09)*","0.0819","0.5901","1.0012","1.0008",4260,4669,3613,3495,1.0012,374
"N00_N29_C64_C65",5,"Cluster_NLCD_B_Built","-0.04(-1.38,1.30)","-0.60(-2.16,0.94)","-3.25(-4.71,-1.76)***","-0.41(-0.77,-0.04)*","0.9363","0.4568","1.0016","1.0007",3869,3747,3738,3833,1.0016,374
"N00_N29_C64_C65",5,"Cluster_NLCD_B_Social","1.25(-0.57,3.06)","-0.11(-2.07,1.97)","-4.16(-5.94,-2.47)***","-0.33(-0.68,0.05)","0.1768","0.9025","1.0015","1.0007",4088,3750,3782,3714,1.0015,374
"N00_N29_C64_C65",5,"Cluster_NLCD_C_EQI","-0.99(-2.28,0.28)","-0.56(-2.10,0.96)","-1.50(-2.89,-0.12)*","0.21(-0.31,0.74)","0.1327","0.4734","0.9998","1.0019",3878,5312,3557,4193,1.0019,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_C_Air","0.50(-0.68,1.70)","0.26(-1.25,1.81)","-2.25(-3.74,-0.80)**","0.21(-0.31,0.74)","0.4130","0.7455","1.0009","1.0006",3912,4201,3546,3767,1.0009,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_C_Water","-0.59(-2.56,1.44)","0.53(-1.07,2.06)","-2.01(-3.28,-0.78)**","0.20(-0.32,0.72)","0.5534","0.5130","1.0022","1.0060",6471,6402,4004,3193,1.006,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_C_Land","-1.52(-2.93,-0.09)*","-0.73(-1.94,0.50)","-1.39(-2.84,-0.03)*","0.19(-0.34,0.71)","0.0381","0.2435","1.0012","0.9997",6748,6250,4103,4101,1.0012,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_C_Built","0.43(-1.04,1.89)","0.27(-1.21,1.75)","-2.29(-3.97,-0.63)**","0.20(-0.32,0.70)","0.5580","0.7305","1.0003","1.0003",3649,3675,3683,3855,1.0011,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_C_Social","-0.26(-2.11,1.53)","0.07(-2.10,2.17)","-1.86(-3.72,-0.01)*","0.18(-0.38,0.74)","0.7917","0.9513","1.0007","1.0022",4372,4414,3134,4150,1.0022,1031
"N00_N29_C64_C65",5,"Cluster_NLCD_D_EQI","-0.13(-1.09,0.85)","-0.99(-3.13,1.29)","-2.19(-3.56,-0.82)***","0.18(-0.23,0.61)","0.7884","0.3610","1.0005","1.0015",4291,5571,4150,3147,1.0018,136
"N00_N29_C64_C65",5,"Cluster_NLCD_D_Air","0.02(-0.96,0.97)","0.07(-9.50,9.73)","-2.36(-3.67,-1.02)***","0.16(-0.25,0.59)","0.9496","0.9900","1.0006","1.0015",4308,8396,3534,3589,1.0019,136
"N00_N29_C64_C65",5,"Cluster_NLCD_D_Water","1.44(-0.16,3.09)","0.11(-1.27,1.44)","-2.51(-3.61,-1.38)***","0.14(-0.28,0.56)","0.0702","0.8554","1.0012","1.0011",5360,6263,3510,3337,1.0015,136
"N00_N29_C64_C65",5,"Cluster_NLCD_D_Land","1.29(0.10,2.45)*","1.57(-0.10,3.18)","-3.24(-4.56,-1.89)***","0.25(-0.16,0.68)","0.0340","0.0652","1.0040","1.0019",4455,4642,3508,3965,1.004,136
"N00_N29_C64_C65",5,"Cluster_NLCD_D_Built","0.14(-1.21,1.49)","0.87(-0.87,2.58)","-2.49(-3.98,-1.00)**","0.19(-0.22,0.61)","0.8292","0.3251","1.0005","1.0015",3546,4022,3686,3860,1.0015,136
"N00_N29_C64_C65",5,"Cluster_NLCD_D_Social","-0.19(-1.77,1.41)","1.49(-2.92,6.19)","-2.21(-3.96,-0.55)*","0.15(-0.26,0.57)","0.8155","0.5726","1.0011","1.0005",3372,5113,3490,3720,1.0012,136
"N00_N29_C64_C65",10,"EQI","0.14(-0.33,0.60)","0.43(-0.13,1.00)","1.72(1.11,2.33)***","0.37(0.18,0.56)***","0.5568","0.1348","1.0001","1.0013",4966,5191,3265,4041,1.002,3136
"N00_N29_C64_C65",10,"Air","-0.26(-0.72,0.22)","0.20(-0.41,0.81)","1.94(1.34,2.55)***","0.36(0.18,0.54)***","0.2631","0.5243","1.0021","1.0013",5224,6027,3945,4006,1.0021,3136
"N00_N29_C64_C65",10,"Water","-0.80(-1.64,0.03)","-0.25(-1.00,0.45)","1.95(1.39,2.51)***","0.36(0.17,0.55)***","0.0585","0.4897","1.0006","1.0007",3807,3114,3363,2837,1.0008,3136
"N00_N29_C64_C65",10,"Land","-0.25(-0.76,0.27)","0.25(-0.32,0.82)","1.93(1.26,2.59)***","0.37(0.18,0.56)***","0.3318","0.3843","1.0005","1.0003",5989,6012,3587,4136,1.002,3136
"N00_N29_C64_C65",10,"Built","0.01(-0.56,0.59)","-0.08(-0.70,0.54)","1.88(1.14,2.59)***","0.37(0.18,0.55)**","0.9867","0.7988","1.0003","1.0010",4073,4352,3370,3166,1.0015,3136
"N00_N29_C64_C65",10,"Social","-0.70(-1.36,-0.03)*","-0.16(-0.91,0.58)","2.29(1.50,3.08)***","0.33(0.14,0.51)**","0.0431","0.6801","1.0007","1.0007",4576,4543,3797,3571,1.0009,3136
