term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,191.24410574104422,1.3574652443129032,188.62975042629122,193.99376813009667
EQI_landQ2,-4.813709172436724,1.836434587641562,-8.451239380800457,-1.330095760116199
EQI_landQ3,-5.256084536974117,1.8563117862821665,-8.865099209106027,-1.6771380849344701
EQI_landQ4,-8.354081002310888,1.9397703289380264,-12.065242719281327,-4.838533684795185
EQI_landQ5,-8.010439898135077,1.9569087768769646,-11.610900641077812,-4.532129921270193
Smoking_Rate_std,16.68918590102095,0.6175997045699552,15.515550607216673,17.871207940649338
