term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,189.19623672623254,1.297299921644727,186.76719964649558,191.85278886367996,1.0020484306454462,409.8563942622517,576.0931408548626
EQI_SociodemographicQ2,-3.7471830804607946,1.7975037927916633,-7.149321087782194,-0.35124975747741705,1.0002705952291087,599.6820535469759,711.6902985962535
EQI_SociodemographicQ3,-4.472884080219344,1.7870752442674487,-8.050765760833636,-0.9185154160087283,1.0045298089158778,510.572999107265,704.2939758669806
EQI_SociodemographicQ4,-6.020867485458656,1.8708157611179883,-9.512852718995681,-2.3916916394733523,1.0004471782510287,527.1583445318906,654.3010049908254
EQI_SociodemographicQ5,-2.1086783976305936,2.009873541632466,-6.014379596952628,1.6462381046225487,1.0039681740944462,462.07717402396,598.6480629110473
Smoking_Rate_std,17.30142997741111,0.6478364829673483,16.054228930231798,18.571533792609312,1.0048399303869193,661.9226829303354,767.6404118995048
