ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
K70,Alcoholic,15,Built,0.0,"0.63(0.21,1.04)","1.32(0.89,1.76)","1.92(1.48,2.35)","2.50(2.02,2.99)"
K70,Alcoholic,15,Social,0.0,"-0.86(-1.32,-0.41)","-1.44(-1.95,-0.93)","-1.41(-1.99,-0.86)","-1.50(-2.16,-0.86)"
K70,Alcoholic,20,EQI,0.0,"2.55(1.82,3.30)","4.09(3.30,4.89)","4.22(3.34,5.10)","4.48(3.49,5.45)"
K70,Alcoholic,20,Air,0.0,"4.03(3.22,4.87)","3.39(2.51,4.27)","3.34(2.40,4.23)","2.67(1.66,3.67)"
K70,Alcoholic,20,Water,0.0,"0.51(-0.45,1.51)","1.27(0.26,2.32)","1.48(0.48,2.56)","1.97(0.87,3.09)"
K70,Alcoholic,20,Land,0.0,"0.74(0.02,1.44)","0.58(-0.17,1.36)","0.50(-0.37,1.36)","0.39(-0.54,1.32)"
K70,Alcoholic,20,Built,0.0,"1.67(0.98,2.37)","2.49(1.76,3.19)","3.68(2.86,4.43)","4.32(3.48,5.12)"
K70,Alcoholic,20,Social,0.0,"-1.10(-1.87,-0.34)","-2.52(-3.34,-1.66)","-2.36(-3.29,-1.43)","-2.65(-3.74,-1.52)"
K71_K73_K74,Toxic & chronic,5,EQI,0.0,"1.71(1.40,2.03)","2.21(1.89,2.53)","2.66(2.31,3.01)","2.94(2.56,3.32)"
K71_K73_K74,Toxic & chronic,5,Air,0.0,"1.69(1.38,1.99)","2.30(1.97,2.62)","2.39(2.06,2.72)","2.53(2.18,2.88)"
K71_K73_K74,Toxic & chronic,5,Water,0.0,"0.23(-0.14,0.59)","0.53(0.13,0.91)","0.68(0.30,1.06)","0.98(0.56,1.37)"
K71_K73_K74,Toxic & chronic,5,Land,0.0,"-0.11(-0.41,0.21)","-0.10(-0.42,0.23)","-0.50(-0.86,-0.15)","-0.60(-0.98,-0.22)"
K71_K73_K74,Toxic & chronic,5,Built,0.0,"0.99(0.71,1.27)","1.30(1.01,1.58)","1.35(1.05,1.66)","1.39(1.07,1.73)"
K71_K73_K74,Toxic & chronic,5,Social,0.0,"-0.44(-0.77,-0.12)","-0.50(-0.86,-0.15)","-0.61(-1.00,-0.21)","-0.61(-1.08,-0.15)"
K71_K73_K74,Toxic & chronic,10,EQI,0.0,"1.64(1.28,1.98)","2.05(1.69,2.41)","2.41(2.01,2.81)","2.78(2.32,3.21)"
K71_K73_K74,Toxic & chronic,10,Air,0.0,"2.20(1.84,2.54)","2.45(2.08,2.82)","2.57(2.18,2.94)","2.75(2.35,3.16)"
K71_K73_K74,Toxic & chronic,10,Water,0.0,"0.05(-0.37,0.47)","0.50(0.04,0.94)","0.84(0.40,1.30)","0.86(0.38,1.34)"
K71_K73_K74,Toxic & chronic,10,Land,0.0,"0.05(-0.30,0.39)","-0.15(-0.52,0.21)","-0.49(-0.89,-0.08)","-0.52(-0.94,-0.10)"
K71_K73_K74,Toxic & chronic,10,Built,0.0,"1.08(0.76,1.42)","1.20(0.88,1.52)","1.46(1.12,1.79)","1.34(0.98,1.70)"
K71_K73_K74,Toxic & chronic,10,Social,0.0,"-0.12(-0.48,0.24)","-0.32(-0.70,0.07)","-0.57(-1.00,-0.14)","-0.66(-1.17,-0.15)"
K71_K73_K74,Toxic & chronic,15,EQI,0.0,"1.70(1.34,2.06)","1.94(1.58,2.32)","2.24(1.85,2.64)","2.47(2.04,2.91)"
K71_K73_K74,Toxic & chronic,15,Air,0.0,"1.79(1.40,2.16)","2.02(1.64,2.40)","2.04(1.62,2.45)","2.01(1.57,2.44)"
K71_K73_K74,Toxic & chronic,15,Water,0.0,"0.60(0.18,1.02)","1.13(0.69,1.59)","1.38(0.92,1.85)","1.22(0.73,1.69)"
K71_K73_K74,Toxic & chronic,15,Land,0.0,"0.35(0.00,0.69)","0.18(-0.19,0.55)","0.05(-0.38,0.47)","-0.26(-0.70,0.18)"
K71_K73_K74,Toxic & chronic,15,Built,0.0,"0.94(0.62,1.26)","1.32(0.99,1.65)","1.47(1.13,1.81)","1.59(1.22,1.95)"
K71_K73_K74,Toxic & chronic,15,Social,0.0,"-0.61(-0.98,-0.24)","-0.82(-1.21,-0.42)","-1.07(-1.51,-0.62)","-1.09(-1.60,-0.56)"
K71_K73_K74,Toxic & chronic,20,EQI,0.0,"2.38(1.83,2.91)","2.57(2.01,3.12)","3.02(2.41,3.62)","3.13(2.45,3.79)"
K71_K73_K74,Toxic & chronic,20,Air,0.0,"2.80(2.21,3.39)","3.09(2.47,3.69)","3.00(2.38,3.62)","2.95(2.29,3.61)"
K71_K73_K74,Toxic & chronic,20,Water,0.0,"0.97(0.27,1.69)","1.08(0.34,1.81)","1.80(1.06,2.53)","1.33(0.55,2.08)"
K71_K73_K74,Toxic & chronic,20,Land,0.0,"0.48(-0.04,1.04)","0.16(-0.42,0.73)","-0.56(-1.19,0.05)","-0.38(-1.04,0.28)"
K71_K73_K74,Toxic & chronic,20,Built,0.0,"1.79(1.29,2.32)","2.02(1.51,2.55)","2.24(1.72,2.79)","2.33(1.76,2.90)"
K71_K73_K74,Toxic & chronic,20,Social,0.0,"-0.93(-1.50,-0.36)","-1.69(-2.30,-1.08)","-2.11(-2.78,-1.44)","-2.10(-2.88,-1.33)"
