ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
J43_J44,COPD,15,EQI,0.0,"3.28(1.76,4.80)","3.89(2.28,5.47)","3.85(2.10,5.53)","3.37(1.32,5.36)"
J43_J44,COPD,15,Air,0.0,"2.12(0.51,3.78)","3.24(1.54,4.94)","4.16(2.39,5.99)","2.63(0.73,4.59)"
J43_J44,COPD,15,Water,0.0,"0.57(-1.47,2.59)","-0.07(-2.18,2.01)","2.05(-0.01,4.12)","2.29(0.08,4.54)"
J43_J44,COPD,15,Land,0.0,"-0.83(-2.33,0.59)","-1.12(-2.69,0.43)","-0.99(-2.75,0.85)","0.14(-1.72,2.06)"
J43_J44,COPD,15,Built,0.0,"2.41(0.97,3.78)","3.22(1.72,4.61)","3.22(1.67,4.73)","2.19(0.52,3.82)"
J43_J44,COPD,15,Social,0.0,"2.03(0.55,3.59)","0.35(-1.36,2.01)","-0.31(-2.16,1.52)","-0.57(-2.75,1.60)"
J43_J44,COPD,20,EQI,0.0,"4.26(2.42,6.14)","1.84(-0.05,3.77)","1.30(-0.68,3.38)","-0.71(-3.06,1.60)"
J43_J44,COPD,20,Air,0.0,"2.43(0.49,4.42)","3.31(1.33,5.30)","3.01(0.96,5.16)","-0.20(-2.48,2.08)"
J43_J44,COPD,20,Water,0.0,"0.62(-1.83,2.99)","-1.04(-3.50,1.42)","2.62(0.02,5.06)","1.50(-1.21,4.14)"
J43_J44,COPD,20,Land,0.0,"-2.25(-3.91,-0.60)","-1.84(-3.65,0.06)","-2.42(-4.49,-0.39)","-1.57(-3.74,0.61)"
J43_J44,COPD,20,Built,0.0,"4.12(2.41,5.86)","5.03(3.24,6.81)","3.75(1.93,5.60)","3.80(1.89,5.76)"
J43_J44,COPD,20,Social,0.0,"0.99(-0.84,2.82)","-0.88(-2.85,1.07)","-2.50(-4.59,-0.36)","-3.51(-6.11,-0.98)"
J45,Asthma,5,EQI,0.0,"0.21(0.15,0.27)","0.45(0.38,0.52)","0.69(0.61,0.77)","0.90(0.80,0.99)"
J45,Asthma,5,Air,0.0,"0.24(0.18,0.30)","0.39(0.32,0.46)","0.57(0.49,0.65)","0.80(0.72,0.89)"
J45,Asthma,5,Water,0.0,"0.01(-0.07,0.09)","0.03(-0.05,0.11)","0.04(-0.04,0.13)","0.06(-0.03,0.15)"
J45,Asthma,5,Land,0.0,"0.07(-0.00,0.13)","0.04(-0.03,0.11)","0.04(-0.04,0.12)","0.03(-0.05,0.11)"
J45,Asthma,5,Built,0.0,"0.09(0.03,0.15)","0.15(0.08,0.21)","0.21(0.14,0.27)","0.22(0.15,0.29)"
J45,Asthma,5,Social,0.0,"-0.03(-0.09,0.03)","-0.03(-0.11,0.04)","0.00(-0.09,0.09)","-0.07(-0.18,0.04)"
J45,Asthma,10,EQI,0.0,"0.22(0.16,0.28)","0.42(0.36,0.49)","0.61(0.53,0.68)","0.86(0.78,0.95)"
J45,Asthma,10,Air,0.0,"0.22(0.16,0.28)","0.36(0.29,0.42)","0.52(0.44,0.59)","0.73(0.64,0.81)"
J45,Asthma,10,Water,0.0,"0.02(-0.05,0.10)","0.03(-0.05,0.11)","0.04(-0.05,0.12)","0.11(0.02,0.19)"
J45,Asthma,10,Land,0.0,"-0.01(-0.07,0.05)","-0.01(-0.07,0.06)","0.01(-0.07,0.08)","0.07(-0.01,0.15)"
J45,Asthma,10,Built,0.0,"0.08(0.03,0.13)","0.18(0.12,0.24)","0.23(0.17,0.29)","0.25(0.18,0.32)"
J45,Asthma,10,Social,0.0,"-0.01(-0.07,0.05)","-0.02(-0.09,0.05)","0.01(-0.07,0.09)","-0.02(-0.12,0.08)"
J45,Asthma,15,EQI,0.0,"0.20(0.15,0.26)","0.43(0.37,0.50)","0.62(0.54,0.69)","0.82(0.73,0.91)"
J45,Asthma,15,Air,0.0,"0.18(0.12,0.24)","0.35(0.29,0.42)","0.51(0.44,0.58)","0.68(0.60,0.76)"
J45,Asthma,15,Water,0.0,"-0.04(-0.12,0.03)","0.04(-0.04,0.12)","0.02(-0.06,0.10)","0.07(-0.01,0.16)"
J45,Asthma,15,Land,0.0,"-0.05(-0.11,0.01)","-0.02(-0.09,0.04)","-0.04(-0.11,0.03)","-0.03(-0.11,0.04)"
J45,Asthma,15,Built,0.0,"0.11(0.06,0.16)","0.17(0.12,0.23)","0.26(0.20,0.32)","0.26(0.19,0.32)"
J45,Asthma,15,Social,0.0,"-0.02(-0.08,0.05)","-0.00(-0.08,0.07)","0.02(-0.06,0.10)","-0.06(-0.16,0.03)"
J45,Asthma,20,EQI,0.0,"0.19(0.13,0.24)","0.36(0.29,0.42)","0.54(0.47,0.61)","0.73(0.65,0.82)"
J45,Asthma,20,Air,0.0,"0.17(0.11,0.23)","0.33(0.27,0.40)","0.46(0.39,0.53)","0.78(0.70,0.86)"
J45,Asthma,20,Water,0.0,"0.02(-0.06,0.09)","0.05(-0.03,0.13)","0.02(-0.06,0.10)","0.06(-0.02,0.15)"
J45,Asthma,20,Land,0.0,"-0.02(-0.07,0.04)","-0.01(-0.07,0.05)","-0.01(-0.08,0.06)","-0.02(-0.10,0.06)"
J45,Asthma,20,Built,0.0,"0.06(0.01,0.11)","0.10(0.05,0.16)","0.18(0.12,0.24)","0.17(0.10,0.24)"
J45,Asthma,20,Social,0.0,"0.01(-0.04,0.07)","-0.02(-0.09,0.05)","0.01(-0.06,0.09)","-0.05(-0.15,0.04)"
J84_D86,ILD,5,EQI,0.0,"1.42(1.14,1.71)","2.49(2.17,2.80)","2.87(2.52,3.20)","3.30(2.91,3.67)"
J84_D86,ILD,5,Air,0.0,"1.90(1.57,2.22)","2.21(1.87,2.56)","2.59(2.25,2.93)","2.38(2.02,2.74)"
J84_D86,ILD,5,Water,0.0,"0.16(-0.19,0.49)","0.47(0.11,0.84)","0.57(0.22,0.92)","0.52(0.15,0.88)"
J84_D86,ILD,5,Land,0.0,"-0.28(-0.57,0.02)","-0.12(-0.43,0.19)","-0.12(-0.47,0.22)","-0.02(-0.39,0.35)"
J84_D86,ILD,5,Built,0.0,"0.96(0.66,1.25)","1.10(0.81,1.39)","1.28(0.99,1.59)","1.36(1.03,1.69)"
J84_D86,ILD,5,Social,0.0,"0.18(-0.12,0.48)","-0.00(-0.34,0.32)","0.26(-0.12,0.63)","0.44(0.01,0.88)"
J84_D86,ILD,10,EQI,0.0,"1.12(0.84,1.40)","2.10(1.79,2.42)","2.61(2.26,2.94)","3.02(2.64,3.40)"
J84_D86,ILD,10,Air,0.0,"1.92(1.60,2.25)","2.24(1.90,2.58)","2.42(2.07,2.76)","2.38(2.02,2.74)"
J84_D86,ILD,10,Water,0.0,"0.14(-0.21,0.49)","0.47(0.10,0.83)","0.63(0.27,0.99)","0.82(0.44,1.21)"
J84_D86,ILD,10,Land,0.0,"0.04(-0.25,0.33)","0.07(-0.24,0.38)","-0.18(-0.52,0.16)","-0.17(-0.52,0.18)"
J84_D86,ILD,10,Built,0.0,"0.77(0.50,1.05)","0.93(0.63,1.23)","0.91(0.61,1.21)","0.97(0.65,1.29)"
J84_D86,ILD,10,Social,0.0,"-0.03(-0.33,0.28)","-0.12(-0.45,0.23)","0.11(-0.27,0.49)","0.23(-0.20,0.68)"
J84_D86,ILD,15,EQI,0.0,"1.49(1.21,1.78)","2.35(2.06,2.64)","2.93(2.62,3.26)","3.35(2.99,3.70)"
J84_D86,ILD,15,Air,0.0,"1.84(1.52,2.15)","2.17(1.85,2.50)","2.30(1.96,2.61)","2.15(1.79,2.50)"
J84_D86,ILD,15,Water,0.0,"0.21(-0.12,0.53)","0.62(0.28,0.95)","0.55(0.23,0.89)","1.01(0.65,1.37)"
J84_D86,ILD,15,Land,0.0,"-0.10(-0.38,0.18)","-0.02(-0.32,0.27)","-0.12(-0.45,0.21)","-0.07(-0.43,0.29)"
J84_D86,ILD,15,Built,0.0,"0.77(0.50,1.05)","1.09(0.79,1.38)","1.18(0.88,1.47)","1.22(0.91,1.54)"
J84_D86,ILD,15,Social,0.0,"0.05(-0.25,0.35)","0.02(-0.31,0.33)","0.36(-0.01,0.72)","0.50(0.07,0.93)"
J84_D86,ILD,20,EQI,0.0,"1.76(1.43,2.08)","2.43(2.10,2.77)","3.20(2.84,3.56)","3.53(3.12,3.94)"
J84_D86,ILD,20,Air,0.0,"2.29(1.93,2.65)","2.84(2.47,3.20)","3.00(2.63,3.37)","2.82(2.42,3.20)"
J84_D86,ILD,20,Water,0.0,"0.27(-0.15,0.68)","0.38(-0.06,0.81)","0.73(0.30,1.16)","0.79(0.33,1.26)"
J84_D86,ILD,20,Land,0.0,"-0.18(-0.50,0.14)","-0.07(-0.40,0.26)","-0.35(-0.73,0.03)","-0.21(-0.61,0.21)"
J84_D86,ILD,20,Built,0.0,"0.90(0.60,1.22)","1.02(0.70,1.35)","1.04(0.71,1.37)","1.03(0.67,1.38)"
J84_D86,ILD,20,Social,0.0,"0.24(-0.11,0.57)","0.27(-0.11,0.63)","0.45(0.03,0.85)","0.41(-0.07,0.88)"
J60_J66,Pneumoconiosis,5,EQI,0.0,"0.01(-0.00,0.03)","0.05(0.03,0.06)","0.06(0.04,0.08)","0.11(0.08,0.13)"
J60_J66,Pneumoconiosis,5,Air,0.0,"0.01(-0.01,0.03)","0.04(0.02,0.06)","0.09(0.07,0.11)","0.16(0.13,0.18)"
J60_J66,Pneumoconiosis,5,Water,0.0,"-0.01(-0.03,0.01)","-0.00(-0.03,0.02)","-0.01(-0.03,0.02)","-0.00(-0.03,0.02)"
J60_J66,Pneumoconiosis,5,Land,0.0,"-0.03(-0.05,-0.01)","-0.02(-0.04,0.00)","-0.06(-0.08,-0.03)","-0.05(-0.08,-0.03)"
