Component,Eigenvalue
1,2.974909131597907
2,2.5487023555254544
3,1.1962845658063441
4,0.7166809127872259
5,0.5352381802573881
6,0.5053780534848522
7,0.251005485931107
8,0.1667806154730207
9,0.10516115295860227
