ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
X60_X84_Y87.0,2006_2010,5,Census_Region_1_SVI+UN+PD+DB,0.00,"0.11(-0.77,0.95)","-0.67(-1.76,0.41)","-1.54(-3.44,0.28)",0.8150,1.0014,2227,3566,0.2168,1.0015,2178,3012,0.1002,1.0024,2066,2988
"X60_X84_Y87.0","2011_2015",10,"Census_Region_1_SVI+UN+PD+DB","0.00","0.38(-0.61,1.40)","-0.25(-1.56,1.06)","-1.98(-4.37,0.29)","0.4659","1.0005",2713,3020,"0.7055","1.0015",2285,3121,"0.0927","1.0009",2119,3031
"X60_X84_Y87.0","2016_2020",15,"Census_Region_1_SVI+UN+PD+DB","0.00","1.35(0.25,2.44)","0.57(-0.87,1.94)","-1.83(-4.44,0.69)","0.0173","1.0011",2448,2975,"0.4389","1.0009",1989,2677,"0.1585","1.0008",1924,2262
"X60_X84_Y87.0","2021_2024",20,"Census_Region_1_SVI+UN+PD+DB","0.00","0.34(-0.87,1.57)","-0.13(-1.67,1.43)","-2.80(-5.59,-0.05)","0.5963","1.0004",2760,3210,"0.8550","0.9999",2478,3145,"0.0452","1.0031",2364,2968
"X60_X84_Y87.0","2006_2010",5,"Census_Region_2_SVI+UN+PD+DB","0.00","1.92(1.26,2.59)","2.61(1.62,3.57)","1.07(-1.17,3.28)","0.0002","1.0017",2481,3038,"0.0002","1.0013",2146,3077,"0.3468","1.0016",1970,2685
"X60_X84_Y87.0","2011_2015",10,"Census_Region_2_SVI+UN+PD+DB","0.00","3.21(2.41,4.04)","4.13(2.95,5.31)","2.73(-0.10,5.46)","0.0002","1.0001",2734,3217,"0.0002","1.0032",2158,2715,"0.0569","1.0022",1994,2850
"X60_X84_Y87.0","2016_2020",15,"Census_Region_2_SVI+UN+PD+DB","0.00","2.86(1.92,3.78)","4.00(2.71,5.34)","4.08(0.89,7.24)","0.0002","1.0006",2629,2834,"0.0002","1.0017",2139,3037,"0.0115","1.0026",1672,2487
"X60_X84_Y87.0","2021_2024",20,"Census_Region_2_SVI+UN+PD+DB","0.00","3.60(2.51,4.71)","4.17(2.55,5.69)","3.50(0.04,7.21)","0.0002","1.0002",2550,3010,"0.0002","1.0005",2118,2892,"0.0473","0.9999",2186,2853
"X60_X84_Y87.0","2006_2010",5,"Census_Region_3_SVI+UN+PD+DB","0.00","3.15(2.03,4.26)","5.11(3.91,6.29)","5.68(4.23,7.04)","0.0002","1.0002",2480,3096,"0.0002","1.0007",2169,2837,"0.0002","1.0023",2019,2733
"X60_X84_Y87.0","2011_2015",10,"Census_Region_3_SVI+UN+PD+DB","0.00","2.17(0.91,3.44)","4.32(2.98,5.73)","4.97(3.37,6.63)","0.0010","1.0036",2029,2961,"0.0002","1.0032",1768,2829,"0.0002","1.0027",1756,2580
