ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
I00_I99,2006_2010,5,Census_Region_1_SVI+SM+UN,"1.00(1.00,1.00)","0.98(0.96,1.00)","1.01(0.98,1.03)","1.02(0.98,1.05)",NA,0.0689,0.6255,0.2722,1.0008,1.0006,1.0021,4064,4173,4621,3447,3842,3221
"I00_I99","2011_2015",10,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.97,1.01)","1.01(0.98,1.03)","1.01(0.98,1.05)",NA,"0.4597","0.6684","0.4180","1.0020","1.0007","1.0010",4034,3882,3847,3106,3320,3459
"I00_I99","2016_2020",15,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.99,1.03)","1.01(0.99,1.03)","1.03(1.00,1.07)",NA,"0.5030","0.4584","0.0873","1.0002","1.0018","1.0011",3815,3907,4882,3528,3783,3549
"I00_I99","2021_2024",20,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.99,1.05)","1.02(0.99,1.05)","1.02(0.98,1.06)",NA,"0.2635","0.2214","0.3610","1.0020","1.0017","1.0011",4319,3822,3852,3129,3399,3341
"I00_I99","2006_2010",5,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.06)","1.04(1.01,1.07)","1.08(1.03,1.12)",NA,"0.0010","0.0019","0.0002","1.0003","1.0000","1.0026",3217,3155,3172,3071,3239,3125
"I00_I99","2011_2015",10,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.05(1.03,1.07)","1.07(1.05,1.10)","1.06(1.02,1.10)",NA,"0.0002","0.0002","0.0023","1.0011","1.0014","1.0011",3754,3305,3838,3649,3364,3244
"I00_I99","2016_2020",15,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.02,1.06)","1.07(1.05,1.09)","1.09(1.05,1.12)",NA,"0.0002","0.0002","0.0002","1.0023","1.0028","1.0014",3423,3288,3465,3117,3497,3285
"I00_I99","2021_2024",20,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.00,1.05)","1.05(1.02,1.08)","1.03(1.00,1.07)",NA,"0.0348","0.0006","0.0652","1.0002","1.0011","1.0018",4571,4275,5273,3586,3587,3128
"I00_I99","2006_2010",5,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.97,1.01)","1.06(1.03,1.09)","1.15(1.12,1.18)",NA,"0.4289","0.0002","0.0002","1.0007","1.0006","1.0008",2656,2564,2491,2868,2946,3186
"I00_I99","2011_2015",10,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.97,1.01)","1.05(1.03,1.08)","1.13(1.11,1.16)",NA,"0.4355","0.0002","0.0002","1.0002","1.0008","1.0009",2777,2428,2487,3262,3041,2862
"I00_I99","2016_2020",15,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.97,1.01)","1.06(1.04,1.09)","1.16(1.14,1.20)",NA,"0.2302","0.0002","0.0002","1.0018","1.0020","1.0014",3162,2837,2865,3653,2867,3366
"I00_I99","2021_2024",20,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","0.95(0.93,0.97)","1.02(1.00,1.04)","1.11(1.08,1.13)",NA,"0.0002","0.0431","0.0002","1.0005","1.0014","1.0018",3541,3021,3046,3632,3353,3385
"I00_I99","2006_2010",5,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.04(0.99,1.09)","1.06(1.01,1.12)","1.15(1.08,1.24)",NA,"0.0952","0.0177","0.0002","1.0023","1.0022","1.0023",3495,3195,2381,3251,3268,2849
"I00_I99","2011_2015",10,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.97,1.06)","1.08(1.03,1.13)","1.14(1.08,1.20)",NA,"0.4480","0.0010","0.0002","1.0008","1.0005","1.0010",3781,3521,3010,3237,3953,3621
"I00_I99","2016_2020",15,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.00,1.08)","1.07(1.03,1.12)","1.17(1.11,1.24)",NA,"0.0489","0.0006","0.0002","1.0008","1.0002","1.0012",3703,3249,2667,3563,3199,3284
"I00_I99","2021_2024",20,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.98,1.05)","1.04(1.00,1.08)","1.05(1.01,1.10)",NA,"0.4559","0.0844","0.0165","1.0013","1.0002","0.9996",5356,6228,4979,3670,3936,3801
"I00_I99","2006_2010",5,"Climate_Zone_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.97,1.04)","1.04(1.00,1.08)","1.07(1.03,1.11)",NA,"0.8996","0.0560","0.0006","0.9997","1.0017","1.0002",4796,5005,4138,3661,3952,3717
"I00_I99","2011_2015",10,"Climate_Zone_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.96,1.04)","1.05(1.01,1.09)","1.05(1.01,1.09)",NA,"0.8338","0.0048","0.0302","0.9996","1.0028","1.0007",5426,4851,4113,3534,3970,3478
"I00_I99","2016_2020",15,"Climate_Zone_B_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.96,1.03)","1.04(1.01,1.08)","1.08(1.04,1.13)",NA,"0.7046","0.0235","0.0002","1.0018","1.0005","1.0016",5387,5055,4989,3416,3786,3825
"I00_I99","2021_2024",20,"Climate_Zone_B_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.95,1.03)","1.02(0.98,1.05)","1.05(1.01,1.09)",NA,"0.5947","0.4301","0.0131","1.0020","1.0025","1.0010",5255,5444,6088,3589,3471,3277
"I00_I99","2006_2010",5,"Climate_Zone_C_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.02)","1.06(1.04,1.08)","1.17(1.14,1.20)",NA,"0.8263","0.0002","0.0002","1.0008","1.0018","1.0018",2788,2342,2112,3386,3051,3046
"I00_I99","2011_2015",10,"Climate_Zone_C_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.00,1.03)","1.07(1.05,1.09)","1.17(1.14,1.19)",NA,"0.0785","0.0002","0.0002","1.0012","1.0007","1.0002",2253,1740,1683,3075,2617,2577
"I00_I99","2016_2020",15,"Climate_Zone_C_SVI+SM+UN","1.00(1.00,1.00)","1.01(1.00,1.03)","1.08(1.06,1.10)","1.19(1.16,1.22)",NA,"0.1285","0.0002","0.0002","1.0028","1.0030","1.0031",2627,2240,2164,3700,3173,3354
"I00_I99","2021_2024",20,"Climate_Zone_C_SVI+SM+UN","1.00(1.00,1.00)","0.97(0.95,0.99)","1.03(1.01,1.05)","1.12(1.10,1.15)",NA,"0.0023","0.0044","0.0002","1.0015","1.0008","1.0000",3811,3311,3422,3983,3709,3516
"I00_I99","2006_2010",5,"Climate_Zone_D_SVI+SM+UN","1.00(1.00,1.00)","1.05(1.03,1.08)","1.06(1.03,1.10)","1.07(1.02,1.12)",NA,"0.0002","0.0002","0.0077","1.0005","1.0037","1.0016",3733,1787,1603,3895,3131,3037
