ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
"I00_I99","2011_2015",10,"Climate_Zone_D_SVI+SM+UN","0.00","9.96(6.45,13.39)","13.97(9.28,18.68)","16.76(8.91,24.60)","0.0002","1.0005",4075,3811,"0.0002","1.0005",3548,3185,"0.0002","0.9998",3198,3086
"I00_I99","2016_2020",15,"Climate_Zone_D_SVI+SM+UN","0.00","10.50(7.09,14.05)","12.40(7.86,16.96)","22.72(15.08,30.27)","0.0002","0.9996",4086,3498,"0.0002","1.0010",3487,3467,"0.0002","1.0004",3946,3289
"I00_I99","2021_2024",20,"Climate_Zone_D_SVI+SM+UN","0.00","10.45(4.79,16.04)","10.98(3.96,17.86)","5.86(-3.08,14.77)","0.0002","1.0006",4978,3901,"0.0015","1.0010",4334,3462,"0.2014","1.0011",5380,3615
"I00_I99","2006_2010",5,"Economic_type_1_SVI+SM+UN","0.00","2.83(-4.63,10.46)","2.06(-6.02,10.22)","11.76(3.51,19.91)","0.4622","1.0036",6568,3981,"0.6042","1.0005",6229,3845,"0.0031","1.0016",3936,3290
"I00_I99","2011_2015",10,"Economic_type_1_SVI+SM+UN","0.00","3.78(-3.80,11.23)","6.59(-1.38,14.61)","11.54(3.87,19.68)","0.3176","1.0002",5222,3453,"0.1039","1.0004",4927,3751,"0.0044","1.0008",4607,3918
"I00_I99","2016_2020",15,"Economic_type_1_SVI+SM+UN","0.00","0.32(-6.92,7.57)","3.18(-4.39,10.85)","18.87(10.98,27.02)","0.9367","1.0005",6828,3630,"0.4330","1.0005",6236,3292,"0.0002","0.9997",6078,4289
"I00_I99","2021_2024",20,"Economic_type_1_SVI+SM+UN","0.00","-1.76(-10.06,6.55)","1.72(-7.31,11.02)","13.28(4.51,22.30)","0.6876","1.0012",8656,3463,"0.6984","1.0002",10337,3279,"0.0023","0.9997",8325,3268
"I00_I99","2006_2010",5,"Economic_type_2_SVI+SM+UN","0.00","-1.53(-9.98,6.93)","5.02(-3.06,12.96)","3.10(-5.35,11.97)","0.7246","1.0063",6543,3449,"0.2293","1.0000",5348,3664,"0.4793","1.0011",6310,3383
"I00_I99","2011_2015",10,"Economic_type_2_SVI+SM+UN","0.00","-5.15(-13.74,3.68)","1.97(-6.10,9.85)","6.62(-1.95,14.93)","0.2402","1.0004",5158,3842,"0.6209","1.0007",5345,3519,"0.1298","1.0010",5441,3776
"I00_I99","2016_2020",15,"Economic_type_2_SVI+SM+UN","0.00","-0.66(-9.41,7.56)","0.30(-7.76,8.32)","7.00(-1.59,15.88)","0.8754","1.0009",4993,3239,"0.9392","1.0015",4469,3443,"0.1077","1.0013",5811,3195
