ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
C00_C97,2006_2010,5,Census_Region_1_SVI+SM+UN,0.00,"-1.26(-4.38,1.93)","-2.21(-5.91,1.37)","0.13(-5.26,5.56)",0.4355,1.0004,3303,3268,0.2327,1.0013,2976,3028,0.9654,1.0014,3524,3410
"C00_C97","2011_2015",10,"Census_Region_1_SVI+SM+UN","0.00","-0.41(-3.08,2.28)","-0.92(-4.17,2.22)","1.82(-3.66,7.07)","0.7759","1.0005",2667,2726,"0.5784","1.0011",2651,3095,"0.4843","1.0011",2595,2534
"C00_C97","2016_2020",15,"Census_Region_1_SVI+SM+UN","0.00","0.08(-3.01,2.98)","-2.84(-6.54,0.65)","-4.03(-9.99,1.64)","0.9446","1.0018",1658,1747,"0.1039","1.0039",1230,1812,"0.1698","1.0049",1397,1420
"C00_C97","2021_2024",20,"Census_Region_1_SVI+SM+UN","0.00","0.60(-3.33,4.53)","-2.24(-6.72,2.25)","-8.84(-15.71,-1.98)","0.7780","1.0015",3510,3410,"0.3272","1.0011",3211,3574,"0.0110","1.0028",3326,3301
"C00_C97","2006_2010",5,"Census_Region_2_SVI+SM+UN","0.00","6.83(3.46,10.27)","9.95(5.66,14.27)","13.28(5.81,20.98)","0.0006","1.0016",3126,2677,"0.0002","1.0008",2897,3123,"0.0006","1.0023",3561,3297
"C00_C97","2011_2015",10,"Census_Region_2_SVI+SM+UN","0.00","8.15(4.69,11.58)","11.80(7.43,16.35)","7.81(0.31,15.47)","0.0002","1.0010",3103,3521,"0.0002","1.0010",2308,2676,"0.0431","1.0023",2369,3327
"C00_C97","2016_2020",15,"Census_Region_2_SVI+SM+UN","0.00","5.97(2.70,9.01)","7.65(3.64,11.49)","10.21(3.05,17.25)","0.0006","1.0007",3478,3416,"0.0002","1.0013",3197,2841,"0.0048","1.0009",3612,3386
"C00_C97","2021_2024",20,"Census_Region_2_SVI+SM+UN","0.00","6.27(2.13,10.43)","7.20(1.99,12.32)","2.79(-5.29,10.71)","0.0035","1.0011",3368,3257,"0.0073","1.0015",2962,3606,"0.4993","1.0018",4135,3427
"C00_C97","2006_2010",5,"Census_Region_3_SVI+SM+UN","0.00","1.99(-2.55,6.52)","9.52(4.99,14.15)","13.71(8.86,18.56)","0.3876","1.0031",2405,2794,"0.0002","1.0018",1978,2929,"0.0002","1.0016",2188,2763
"C00_C97","2011_2015",10,"Census_Region_3_SVI+SM+UN","0.00","3.34(-0.92,7.52)","8.48(4.18,12.83)","12.66(8.16,17.06)","0.1310","1.0014",3222,3934,"0.0002","1.0020",2822,3284,"0.0002","1.0014",2895,3432
