ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
G20_G30_G12.2_F01_F03,2006_2010,5,Census_Region_1_SVI+PA+UN,0.00,"3.04(-0.71,6.65)","1.61(-2.74,5.95)","-1.84(-8.21,4.52)",0.1089,1.0019,4162,3347,0.4505,1.0009,3768,3637,0.5863,1.0038,4324,3298
"G20_G30_G12.2_F01_F03","2011_2015",10,"Census_Region_1_SVI+PA+UN","0.00","3.07(-0.69,6.88)","3.12(-1.46,7.66)","0.73(-6.27,7.64)","0.1173","1.0015",4141,3723,"0.1889","1.0011",3710,3331,"0.8217","1.0014",4009,3829
"G20_G30_G12.2_F01_F03","2016_2020",15,"Census_Region_1_SVI+PA+UN","0.00","4.75(0.58,8.72)","5.01(0.27,9.69)","0.90(-6.18,7.88)","0.0219","1.0007",3858,3630,"0.0390","1.0009",3620,4037,"0.8088","1.0005",4438,3796
"G20_G30_G12.2_F01_F03","2021_2024",20,"Census_Region_1_SVI+PA+UN","0.00","5.65(1.40,9.99)","3.47(-1.80,8.41)","-3.13(-10.45,4.07)","0.0098","1.0017",3835,3360,"0.1773","1.0024",4158,3751,"0.3901","1.0001",4316,3512
"G20_G30_G12.2_F01_F03","2006_2010",5,"Census_Region_2_SVI+PA+UN","0.00","3.86(1.55,6.13)","9.37(6.38,12.31)","6.06(0.26,11.74)","0.0015","1.0008",4131,3578,"0.0002","1.0004",3478,3520,"0.0402","1.0020",4949,3511
"G20_G30_G12.2_F01_F03","2011_2015",10,"Census_Region_2_SVI+PA+UN","0.00","4.51(1.91,7.05)","11.88(8.56,15.12)","5.33(-0.78,11.47)","0.0006","0.9999",4050,3336,"0.0002","1.0004",4032,3374,"0.0881","1.0012",4311,3610
"G20_G30_G12.2_F01_F03","2016_2020",15,"Census_Region_2_SVI+PA+UN","0.00","3.95(1.36,6.53)","9.45(6.15,12.73)","6.97(0.59,13.41)","0.0060","1.0011",5432,3913,"0.0002","1.0008",4355,3713,"0.0327","1.0011",5495,2878
"G20_G30_G12.2_F01_F03","2021_2024",20,"Census_Region_2_SVI+PA+UN","0.00","2.08(-0.82,5.00)","4.70(1.15,8.36)","-1.59(-8.16,4.88)","0.1735","1.0011",4679,3656,"0.0081","0.9997",4414,4184,"0.6430","1.0015",4988,3080
"G20_G30_G12.2_F01_F03","2006_2010",5,"Census_Region_3_SVI+PA+UN","0.00","1.94(-1.80,5.71)","6.12(2.49,9.77)","3.76(0.02,7.59)","0.3056","1.0001",2590,3486,"0.0019","1.0006",2318,2892,"0.0485","1.0006",2290,2871
"G20_G30_G12.2_F01_F03","2011_2015",10,"Census_Region_3_SVI+PA+UN","0.00","1.88(-1.85,5.64)","7.91(4.17,11.65)","6.77(2.84,10.83)","0.3239","1.0012",2715,3296,"0.0002","1.0021",2454,3187,"0.0010","1.0021",2278,2489
"G20_G30_G12.2_F01_F03","2016_2020",15,"Census_Region_3_SVI+PA+UN","0.00","2.22(-1.59,6.06)","8.33(4.64,11.95)","10.34(6.48,14.36)","0.2377","1.0000",2622,3047,"0.0002","1.0004",2146,2851,"0.0002","1.0002",2091,2899
"G20_G30_G12.2_F01_F03","2021_2024",20,"Census_Region_3_SVI+PA+UN","0.00","3.48(-0.37,7.32)","8.39(4.61,12.21)","12.48(8.42,16.50)","0.0785","1.0042",2816,3305,"0.0006","1.0056",2388,2972,"0.0002","1.0054",2407,3040
"G20_G30_G12.2_F01_F03","2006_2010",5,"Census_Region_4_SVI+PA+UN","0.00","4.04(-0.16,8.28)","8.97(4.46,13.39)","14.00(8.81,19.33)","0.0577","1.0003",3621,3441,"0.0002","1.0013",3277,3285,"0.0002","1.0022",2816,3446
"G20_G30_G12.2_F01_F03","2011_2015",10,"Census_Region_4_SVI+PA+UN","0.00","2.51(-1.87,6.78)","11.55(6.78,16.26)","17.08(11.54,22.62)","0.2514","1.0009",4012,3642,"0.0002","1.0014",3471,3803,"0.0002","1.0027",3320,3581
"G20_G30_G12.2_F01_F03","2016_2020",15,"Census_Region_4_SVI+PA+UN","0.00","1.69(-2.67,5.95)","10.96(6.38,15.64)","15.86(10.44,21.30)","0.4430","1.0008",3350,3887,"0.0002","1.0001",2497,3326,"0.0002","1.0010",2193,3212
"G20_G30_G12.2_F01_F03","2021_2024",20,"Census_Region_4_SVI+PA+UN","0.00","7.05(2.26,11.78)","11.87(6.82,16.89)","15.06(9.14,20.84)","0.0035","1.0001",3422,3639,"0.0002","1.0001",2499,3621,"0.0002","1.0001",2438,3084
"G20_G30_G12.2_F01_F03","2006_2010",5,"Climate_Zone_B_SVI+PA+UN","0.00","5.24(-0.27,10.58)","12.41(6.76,17.84)","7.79(2.26,13.42)","0.0606","1.0009",5297,3520,"0.0002","1.0004",4558,3911,"0.0081","1.0006",4288,3684
"G20_G30_G12.2_F01_F03","2011_2015",10,"Climate_Zone_B_SVI+PA+UN","0.00","2.48(-3.25,8.07)","10.87(5.06,16.74)","8.79(2.44,14.99)","0.3630","1.0006",4098,3560,"0.0006","1.0026",3229,3556,"0.0069","1.0009",2756,3258
"G20_G30_G12.2_F01_F03","2016_2020",15,"Climate_Zone_B_SVI+PA+UN","0.00","0.94(-4.64,6.48)","7.92(2.04,13.81)","7.37(1.50,13.33)","0.7317","1.0005",3600,3747,"0.0098","1.0007",3688,3783,"0.0127","1.0024",2801,3477
