ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
N00_N29_C64_C65,2006_2010,5,Census_Region_1_SVI+SM+UN,0.00,"0.87(-0.44,2.14)","0.47(-1.05,1.93)","0.83(-1.64,3.45)",0.1802,1.0013,3083,3395,0.5372,1.0016,2881,3438,0.5105,1.0007,3285,3608
"N00_N29_C64_C65","2011_2015",10,"Census_Region_1_SVI+SM+UN","0.00","0.89(-0.19,1.94)","0.68(-0.58,1.94)","1.32(-0.85,3.44)","0.0994","1.0009",2498,2934,"0.2918","1.0007",2513,3059,"0.2310","1.0013",2441,2741
"N00_N29_C64_C65","2016_2020",15,"Census_Region_1_SVI+SM+UN","0.00","1.26(0.18,2.34)","1.85(0.62,3.09)","1.36(-0.90,3.59)","0.0277","1.0009",2597,3069,"0.0052","1.0008",2349,3004,"0.2227","1.0007",2511,2762
"N00_N29_C64_C65","2021_2024",20,"Census_Region_1_SVI+SM+UN","0.00","0.90(-0.40,2.13)","0.77(-0.73,2.26)","0.66(-1.84,3.14)","0.1556","1.0018",2885,2997,"0.3089","1.0027",2548,3098,"0.5997","0.9999",2751,3559
"N00_N29_C64_C65","2006_2010",5,"Census_Region_2_SVI+SM+UN","0.00","1.08(0.14,2.00)","2.89(1.72,4.01)","8.62(5.67,11.64)","0.0244","1.0019",3163,2955,"0.0002","1.0005",3181,3299,"0.0002","1.0023",4168,2842
"N00_N29_C64_C65","2011_2015",10,"Census_Region_2_SVI+SM+UN","0.00","1.67(0.83,2.52)","3.90(2.79,5.00)","7.47(5.04,9.91)","0.0006","1.0009",3259,3097,"0.0002","1.0004",2860,3238,"0.0002","1.0011",3188,3234
"N00_N29_C64_C65","2016_2020",15,"Census_Region_2_SVI+SM+UN","0.00","2.26(1.41,3.12)","4.12(2.99,5.20)","8.24(5.77,10.75)","0.0002","1.0021",3077,3574,"0.0002","1.0021",2863,3282,"0.0002","1.0016",3671,2953
"N00_N29_C64_C65","2021_2024",20,"Census_Region_2_SVI+SM+UN","0.00","1.19(0.16,2.30)","3.00(1.59,4.40)","5.70(2.57,8.83)","0.0240","1.0000",3429,3308,"0.0002","1.0021",3240,3382,"0.0006","1.0003",3650,2940
"N00_N29_C64_C65","2006_2010",5,"Census_Region_3_SVI+SM+UN","0.00","2.14(0.59,3.69)","4.14(2.50,5.78)","8.63(6.89,10.41)","0.0106","1.0037",2208,3055,"0.0002","1.0038",2039,2557,"0.0002","1.0039",2083,2595
"N00_N29_C64_C65","2011_2015",10,"Census_Region_3_SVI+SM+UN","0.00","2.18(0.72,3.69)","4.50(2.91,6.07)","7.92(6.23,9.66)","0.0048","1.0017",2145,2729,"0.0002","1.0027",1775,2771,"0.0002","1.0030",1809,2501
"N00_N29_C64_C65","2016_2020",15,"Census_Region_3_SVI+SM+UN","0.00","2.82(1.32,4.32)","5.78(4.18,7.34)","10.52(8.85,12.21)","0.0006","1.0009",2478,3115,"0.0002","1.0008",2277,2987,"0.0002","1.0009",2306,3005
"N00_N29_C64_C65","2021_2024",20,"Census_Region_3_SVI+SM+UN","0.00","2.66(0.77,4.49)","6.37(4.38,8.35)","12.37(10.23,14.45)","0.0052","1.0041",2373,2855,"0.0002","1.0039",2091,2398,"0.0002","1.0043",2109,2553
"N00_N29_C64_C65","2006_2010",5,"Census_Region_4_SVI+SM+UN","0.00","3.86(2.30,5.49)","6.22(4.39,8.04)","10.27(8.11,12.49)","0.0002","1.0010",2796,3082,"0.0002","1.0009",2454,2894,"0.0002","1.0012",2225,3391
"N00_N29_C64_C65","2011_2015",10,"Census_Region_4_SVI+SM+UN","0.00","3.10(1.63,4.63)","4.27(2.53,6.00)","8.63(6.64,10.65)","0.0002","1.0000",2687,3480,"0.0002","1.0005",2145,3191,"0.0002","0.9999",2138,3144
"N00_N29_C64_C65","2016_2020",15,"Census_Region_4_SVI+SM+UN","0.00","3.24(1.61,4.87)","3.60(1.69,5.49)","8.68(6.54,10.88)","0.0002","1.0005",2469,2959,"0.0002","1.0020",1944,2998,"0.0002","1.0020",1858,2714
"N00_N29_C64_C65","2021_2024",20,"Census_Region_4_SVI+SM+UN","0.00","3.82(1.83,5.81)","4.88(2.62,7.11)","9.97(7.31,12.56)","0.0002","1.0007",2609,2873,"0.0002","1.0001",2196,3047,"0.0002","1.0006",2068,2805
"N00_N29_C64_C65","2006_2010",5,"Climate_Zone_B_SVI+SM+UN","0.00","2.34(-0.24,4.96)","5.42(2.58,8.23)","9.51(6.53,12.64)","0.0735","1.0005",4422,3784,"0.0002","1.0014",2807,3152,"0.0002","1.0033",2247,2838
"N00_N29_C64_C65","2011_2015",10,"Climate_Zone_B_SVI+SM+UN","0.00","1.05(-1.37,3.43)","4.48(1.69,7.23)","8.76(5.79,11.68)","0.3868","0.9999",3525,3581,"0.0048","1.0003",2696,3420,"0.0002","1.0012",2606,3244
"N00_N29_C64_C65","2016_2020",15,"Climate_Zone_B_SVI+SM+UN","0.00","2.58(0.02,5.22)","3.31(0.35,6.25)","8.30(5.17,11.31)","0.0498","0.9995",4093,4071,"0.0290","1.0004",3435,3797,"0.0002","1.0008",2800,3559
"N00_N29_C64_C65","2021_2024",20,"Climate_Zone_B_SVI+SM+UN","0.00","2.89(-0.16,5.88)","5.46(2.00,8.79)","11.41(7.83,14.83)","0.0623","1.0007",4397,3826,"0.0015","1.0022",3424,3323,"0.0002","1.0014",3117,3218
"N00_N29_C64_C65","2006_2010",5,"Climate_Zone_C_SVI+SM+UN","0.00","2.21(1.15,3.30)","3.74(2.58,4.88)","7.89(6.61,9.18)","0.0002","1.0009",2267,3145,"0.0002","1.0012",1968,2673,"0.0002","1.0010",1994,2974
"N00_N29_C64_C65","2011_2015",10,"Climate_Zone_C_SVI+SM+UN","0.00","2.12(1.08,3.11)","3.84(2.73,4.96)","6.98(5.68,8.26)","0.0002","1.0016",1994,2563,"0.0002","0.9999",1814,2713,"0.0002","1.0016",1831,2687
"N00_N29_C64_C65","2016_2020",15,"Climate_Zone_C_SVI+SM+UN","0.00","2.72(1.71,3.73)","4.61(3.49,5.72)","9.16(7.90,10.42)","0.0002","1.0011",2613,3582,"0.0002","1.0014",2257,2931,"0.0002","1.0010",2160,3225
"N00_N29_C64_C65","2021_2024",20,"Climate_Zone_C_SVI+SM+UN","0.00","1.67(0.38,2.98)","4.28(2.87,5.73)","9.77(8.15,11.43)","0.0098","1.0021",1909,2827,"0.0002","1.0033",1622,2396,"0.0002","1.0021",1660,2744
"N00_N29_C64_C65","2006_2010",5,"Climate_Zone_D_SVI+SM+UN","0.00","1.49(0.70,2.26)","2.79(1.76,3.83)","7.06(4.82,9.38)","0.0006","1.0005",4316,3918,"0.0002","1.0001",3743,3565,"0.0002","1.0008",4077,3540
"N00_N29_C64_C65","2011_2015",10,"Climate_Zone_D_SVI+SM+UN","0.00","1.90(1.14,2.63)","2.92(1.88,3.94)","6.29(4.09,8.42)","0.0002","1.0014",3757,3582,"0.0002","1.0003",3261,3700,"0.0002","1.0017",3592,3201
