ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
C00_C97,2006_2010,5,Census_Region_1_SVI+SM+UN,"1.00(1.00,1.00)","0.99(0.95,1.02)","0.98(0.94,1.02)","1.00(0.95,1.07)",NA,0.4355,0.2327,0.9654,1.0004,1.0013,1.0014,3303,2976,3524,3268,3028,3410
"C00_C97","2011_2015",10,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.97,1.03)","0.99(0.96,1.03)","1.02(0.96,1.08)",NA,"0.7759","0.5784","0.4843","1.0005","1.0011","1.0011",2667,2651,2595,2726,3095,2534
"C00_C97","2016_2020",15,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.03)","0.98(0.95,1.01)","0.97(0.92,1.01)",NA,"0.9446","0.1039","0.1698","1.0018","1.0039","1.0049",1658,1230,1397,1747,1812,1420
"C00_C97","2021_2024",20,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.03)","0.98(0.95,1.02)","0.94(0.89,0.99)",NA,"0.7780","0.3272","0.0110","1.0015","1.0011","1.0028",3510,3211,3326,3410,3574,3301
"C00_C97","2006_2010",5,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.08(1.03,1.14)","1.11(1.05,1.20)","1.15(1.06,1.27)",NA,"0.0006","0.0002","0.0006","1.0016","1.0008","1.0023",3126,2897,3561,2677,3123,3297
"C00_C97","2011_2015",10,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.06(1.03,1.09)","1.09(1.05,1.13)","1.06(1.00,1.12)",NA,"0.0002","0.0002","0.0431","1.0010","1.0010","1.0023",3103,2308,2369,3521,2676,3327
"C00_C97","2016_2020",15,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.02,1.06)","1.05(1.02,1.08)","1.07(1.02,1.12)",NA,"0.0006","0.0002","0.0048","1.0007","1.0013","1.0009",3478,3197,3612,3416,2841,3386
"C00_C97","2021_2024",20,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.01,1.06)","1.04(1.01,1.07)","1.02(0.97,1.06)",NA,"0.0035","0.0073","0.4993","1.0011","1.0015","1.0018",3368,2962,4135,3257,3606,3427
"C00_C97","2006_2010",5,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.98,1.06)","1.09(1.04,1.15)","1.13(1.07,1.20)",NA,"0.3876","0.0002","0.0002","1.0031","1.0018","1.0016",2405,1978,2188,2794,2929,2763
"C00_C97","2011_2015",10,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.99,1.05)","1.05(1.02,1.08)","1.07(1.05,1.10)",NA,"0.1310","0.0002","0.0002","1.0014","1.0020","1.0014",3222,2822,2895,3934,3284,3432
"C00_C97","2016_2020",15,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.99,1.05)","1.07(1.04,1.10)","1.11(1.08,1.14)",NA,"0.1577","0.0002","0.0002","1.0022","1.0024","1.0025",2775,2521,2555,3417,3167,3024
"C00_C97","2021_2024",20,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.97,1.02)","1.03(1.00,1.06)","1.09(1.06,1.12)",NA,"0.5026","0.0177","0.0002","1.0014","1.0004","1.0021",3437,3069,3093,3120,3370,3737
