"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C50","EQI",5,"-0.04(-0.70,0.62)","0.59(-0.17,1.37)","-0.70(-1.35,-0.04)*","0.09(-0.15,0.33)",3137,1.001
"C50","Air",5,"-0.29(-0.94,0.34)","0.38(-0.40,1.16)","-0.52(-1.15,0.10)","0.09(-0.15,0.32)",3137,1.0018
"C50","Water",5,"-0.41(-1.39,0.58)","0.02(-0.89,0.96)","-0.52(-1.02,0.00)","0.11(-0.13,0.35)",3137,1.0019
"C50","Land",5,"-0.33(-1.02,0.34)","-0.06(-0.79,0.68)","-0.39(-1.08,0.27)","0.11(-0.13,0.34)",3137,1.0013
"C50","Built",5,"-0.18(-1.00,0.65)","0.08(-0.75,0.97)","-0.50(-1.33,0.33)","0.11(-0.12,0.34)",3137,1.0027
"C50","Social",5,"-1.48(-2.42,-0.51)**","-0.81(-1.83,0.23)","0.44(-0.47,1.39)","0.02(-0.23,0.27)",3137,1.0009
"C50","Air_Multi",5,"-0.15(-0.81,0.51)","0.25(-0.57,1.07)","0.60(-0.74,1.87)","0.02(-0.21,0.26)",3137,1.0081
"C50","Water_Multi",5,"-0.40(-1.37,0.62)","-0.01(-0.97,0.95)","0.60(-0.74,1.87)","0.02(-0.21,0.26)",3137,1.0081
"C50","Land_Multi",5,"-0.24(-0.93,0.47)","-0.09(-0.84,0.67)","0.60(-0.74,1.87)","0.02(-0.21,0.26)",3137,1.0081
"C50","Built_Multi",5,"0.00(-0.86,0.86)","0.10(-0.76,0.94)","0.60(-0.74,1.87)","0.02(-0.21,0.26)",3137,1.0081
"C50","Social_Multi",5,"-1.42(-2.35,-0.46)**","-0.92(-1.92,0.12)","0.60(-0.74,1.87)","0.02(-0.21,0.26)",3137,1.0081
"C50","RUCC1_EQI",5,"0.34(-0.15,0.83)","0.80(0.16,1.42)*","-1.65(-2.14,-1.16)***","-0.07(-0.24,0.09)",1166,1.0019
"C50","RUCC1_Air",5,"0.55(0.10,1.01)*","1.50(0.66,2.27)**","-1.80(-2.27,-1.32)***","-0.09(-0.24,0.06)",1166,1.002
"C50","RUCC1_Water",5,"0.30(-0.49,1.08)","0.03(-0.69,0.72)","-1.34(-1.72,-0.96)***","-0.06(-0.22,0.10)",1166,1.0013
"C50","RUCC1_Land",5,"-0.13(-0.67,0.43)","0.01(-0.61,0.64)","-1.24(-1.77,-0.71)***","-0.06(-0.21,0.10)",1166,1.0007
"C50","RUCC1_Built",5,"-0.21(-0.90,0.45)","-0.03(-0.76,0.69)","-1.17(-1.86,-0.47)***","-0.06(-0.21,0.10)",1166,1.0012
"C50","RUCC1_Social",5,"0.03(-0.76,0.81)","-0.23(-1.25,0.83)","-1.30(-2.11,-0.49)**","-0.05(-0.21,0.11)",1166,1.0018
"C50","RUCC1_Air_Multi",5,"0.50(0.04,0.96)*","1.60(0.77,2.40)***","-1.86(-2.95,-0.74)**","-0.06(-0.22,0.10)",1166,1.0014
"C50","RUCC1_Water_Multi",5,"0.09(-0.69,0.87)","0.04(-0.61,0.68)","-1.86(-2.95,-0.74)**","-0.06(-0.22,0.10)",1166,1.0014
"C50","RUCC1_Land_Multi",5,"-0.09(-0.63,0.46)","0.14(-0.48,0.79)","-1.86(-2.95,-0.74)**","-0.06(-0.22,0.10)",1166,1.0014
"C50","RUCC1_Built_Multi",5,"-0.24(-0.94,0.45)","-0.02(-0.77,0.75)","-1.86(-2.95,-0.74)**","-0.06(-0.22,0.10)",1166,1.0014
"C50","RUCC1_Social_Multi",5,"0.37(-0.42,1.12)","-0.31(-1.35,0.75)","-1.86(-2.95,-0.74)**","-0.06(-0.22,0.10)",1166,1.0014
"C50","RUCC2_EQI",5,"-1.47(-2.76,0.17)","-0.99(-3.26,1.17)","-0.44(-2.20,0.93)","-0.23(-0.81,0.31)",306,1.0024
"C50","RUCC2_Air",5,"-1.31(-2.82,0.54)","-0.07(-1.86,1.88)","-0.80(-2.80,0.86)","-0.32(-0.95,0.30)",306,1.0066
