ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max,,,
C00_C97,RUCC1_Air_Multi,5,"-0.15(-1.72,1.38)","-3.01(-6.25,0.57)","-10.06(-13.83,-6.21)***","-0.35(-0.97,0.27)",1166,1.002,,,
C00_C97,RUCC1_Water_Multi,5,"-0.74(-3.34,1.81)","0.07(-2.54,2.66)","-10.06(-13.83,-6.21)***","-0.35(-0.97,0.27)",1166,1.002,,,
C00_C97,RUCC1_Land_Multi,5,"-1.49(-3.15,0.18)","-0.10(-2.04,1.89)","-10.06(-13.83,-6.21)***","-0.35(-0.97,0.27)",1166,1.002,,,
C00_C97,RUCC1_Built_Multi,5,"-1.20(-3.46,1.00)","0.87(-1.56,3.19)","-10.06(-13.83,-6.21)***","-0.35(-0.97,0.27)",1166,1.002,,,
C00_C97,RUCC1_Social_Multi,5,"-2.00(-4.78,0.97)","2.72(-0.91,6.33)","-10.06(-13.83,-6.21)***","-0.35(-0.97,0.27)",1166,1.002,,,
C00_C97,RUCC2_EQI,5,"-0.37(-5.10,4.44)","-2.24(-8.24,3.76)","-9.60(-14.04,-5.01)***","-0.25(-2.52,1.95)",306,1.0018,,,
C00_C97,RUCC2_Air,5,"-4.28(-8.98,0.67)","-1.49(-6.66,3.91)","-8.08(-12.65,-3.70)***","-0.31(-2.44,1.79)",306,1.0014,,,
C00_C97,RUCC2_Water,5,"-2.96(-9.53,3.79)","-0.98(-7.22,5.13)","-9.49(-13.66,-5.29)***","-0.05(-2.22,2.18)",306,1.0012,,,
C00_C97,RUCC2_Land,5,"-1.30(-6.28,3.72)","-1.32(-6.33,4.05)","-9.00(-14.07,-3.92)**","-0.10(-2.34,2.13)",306,1.0029,,,
C00_C97,RUCC2_Built,5,"-0.73(-5.66,4.50)","-2.78(-8.32,3.14)","-9.14(-14.16,-4.11)***","-0.32(-2.49,1.77)",306,1.0012,,,
C00_C97,RUCC2_Social,5,"-5.34(-10.83,0.43)","0.27(-5.52,5.87)","-8.44(-13.79,-2.98)**","-0.87(-3.04,1.32)",306,1.0027,,,
C00_C97,RUCC2_Air_Multi,5,"-3.19(-8.13,1.76)","-0.97(-6.02,4.20)","-6.44(-13.21,0.31)","-0.97(-3.21,1.30)",306,1.0019,,,
C00_C97,RUCC2_Water_Multi,5,"-1.25(-7.63,5.50)","-1.53(-7.32,4.12)","-6.44(-13.21,0.31)","-0.97(-3.21,1.30)",306,1.0019,,,
C00_C97,RUCC2_Land_Multi,5,"-0.35(-5.43,4.71)","-1.36(-6.32,3.57)","-6.44(-13.21,0.31)","-0.97(-3.21,1.30)",306,1.0019,,,
C00_C97,RUCC2_Built_Multi,5,"0.98(-3.94,6.01)","-1.12(-6.75,4.48)","-6.44(-13.21,0.31)","-0.97(-3.21,1.30)",306,1.0019,,,
C00_C97,RUCC2_Social_Multi,5,"-5.22(-10.45,0.23)","0.10(-5.25,5.56)","-6.44(-13.21,0.31)","-0.97(-3.21,1.30)",306,1.0019,,,
C00_C97,RUCC3_EQI,5,"3.30(-1.81,8.26)","-1.65(-6.33,2.79)","-12.00(-16.08,-7.97)***","-0.54(-2.54,1.32)",1026,1.0019,,,
C00_C97,RUCC3_Air,5,"-3.93(-8.83,1.21)","-2.27(-6.57,2.14)","-10.60(-14.35,-6.82)***","-0.96(-2.83,0.87)",1026,1.0016,,,
C00_C97,RUCC3_Water,5,"-1.18(-6.58,4.30)","2.57(-3.01,7.84)","-12.47(-15.68,-9.07)***","-0.77(-2.59,0.99)",1026,1.0027,,,
C00_C97,RUCC3_Land,5,"-1.52(-6.68,3.73)","-3.41(-7.85,1.09)","-10.22(-14.35,-6.22)***","-0.82(-2.65,0.95)",1026,1.0015,,,
C00_C97,RUCC3_Built,5,"-0.88(-5.89,3.88)","-3.46(-8.59,1.60)","-10.26(-14.96,-5.39)***","-0.56(-2.48,1.23)",1026,1.0016,,,
C00_C97,RUCC3_Social,5,"-0.79(-6.05,4.58)","-1.74(-6.27,2.78)","-11.05(-15.47,-6.51)***","-0.76(-2.77,1.07)",1026,1.0014,,,
C00_C97,RUCC3_Air_Multi,5,"-2.82(-7.99,2.45)","-1.37(-6.09,3.14)","-8.28(-14.80,-1.96)*","-0.93(-3.09,1.03)",1026,1.0023,,,
